record_id,date,season,month,leaf_weight_kg,leaf_moisture_percent,withering_time_hours,fermentation_time_hours,drying_temperature_celsius,drying_duration_minutes,ambient_temperature_celsius,humidity_percentage,rainfall_mm,collection_region,powder_weight_kg,yield_percentage
REC-00014,12/25/2024,NE_Monsoon,12,675.26,77.4,16.79,3.68,110.7,24,23.3,88.8,8.59,West_Block,131.32,19.45
REC-00015,12/24/2024,NE_Monsoon,12,612.63,78.7,16.45,3.13,99.7,23,18.1,88.8,8.44,West_Block,131.17,21.41
REC-00016,12/23/2024,NE_Monsoon,12,675.92,74.6,17.99,3.37,93.2,22.7,22.2,85.8,9.81,West_Block,138.36,20.47
REC-00017,12/23/2024,NE_Monsoon,12,443.26,80.5,14.78,2.96,99.7,25.8,22.6,84,8.27,Middle_Division,92.6,20.89
REC-00018,12/23/2024,NE_Monsoon,12,421.49,77.8,16.72,2.89,101.6,26.4,23.7,88.2,6.67,Upper_Division,89.33,21.19
REC-00019,12/22/2024,NE_Monsoon,12,438.87,83.3,15.23,3.36,98.5,26.9,17.7,85.4,10.61,East_Block,91.48,20.85
REC-00020,12/22/2024,NE_Monsoon,12,592.93,75.2,16.84,3.54,103.3,20.9,22.7,87.7,9.91,Middle_Division,120.68,20.35
REC-00021,12/22/2024,NE_Monsoon,12,722.48,78.5,16.01,3.67,102.9,25.7,19.4,82.5,5.53,Middle_Division,148.18,20.51
REC-00022,12/21/2024,NE_Monsoon,12,827.76,81.3,13.2,3.34,89.9,23.6,17.9,84.3,9.36,Middle_Division,161.07,19.46
REC-00023,12/20/2024,NE_Monsoon,12,555.47,78.6,15.02,4.07,101.2,18.9,22.6,81.2,7.49,Middle_Division,111.54,20.08
REC-00024,12/20/2024,NE_Monsoon,12,509.89,81.8,15.52,3.16,89.9,27.8,19,89.5,9.18,Middle_Division,107.13,21.01
REC-00025,12/19/2024,NE_Monsoon,12,367.68,80.3,15.27,3.63,94.5,26.3,20.3,79.2,7.79,Upper_Division,71.84,19.54
REC-00026,12/18/2024,NE_Monsoon,12,745.89,73.7,13.85,2.78,98.7,29.3,20.5,88.3,8.73,East_Block,150.58,20.19
REC-00027,12/18/2024,NE_Monsoon,12,558.38,74.3,15.42,3.06,101.3,29.8,20.2,84.5,10.33,Upper_Division,115.42,20.67
REC-00028,12/18/2024,NE_Monsoon,12,491.63,76.9,16.31,3.44,95.7,23.1,21.9,85.5,9.97,East_Block,105.52,21.46
REC-00029,12/18/2024,NE_Monsoon,12,450.52,78.4,15.16,3.37,101.1,24.9,19.6,87.3,6.93,Middle_Division,98.18,21.79
REC-00030,12/16/2024,NE_Monsoon,12,501.05,80.8,16.39,3.01,102.7,23.4,23.3,82.7,5.06,Middle_Division,105.83,21.12
REC-00031,12/16/2024,NE_Monsoon,12,561.64,74.4,16.89,2.59,108.5,22,21.7,87,9.49,West_Block,115.05,20.48
REC-00032,12/16/2024,NE_Monsoon,12,559.1,77,14.98,3.49,97.3,22.5,18,87.1,8.5,Lower_Division,119.6,21.39
REC-00033,12/15/2024,NE_Monsoon,12,493.48,77.4,16.35,2.28,91,22.8,22.4,84.7,7.4,Lower_Division,103.15,20.9
REC-00034,12/15/2024,NE_Monsoon,12,547.78,82.6,15.57,3.16,93.9,26.6,23.7,82.5,6.62,Upper_Division,112.03,20.45
REC-00035,12/15/2024,NE_Monsoon,12,561.72,80.9,14.84,3.01,100.5,29.4,20.2,85.5,8.31,Upper_Division,116.91,20.81
REC-00036,12/14/2024,NE_Monsoon,12,449.23,78.5,15.1,2,95.4,22.7,23.8,89.8,8.96,East_Block,89.21,19.86
REC-00037,12/14/2024,NE_Monsoon,12,618.56,77.6,17.46,3.37,105.4,27.1,23.1,78.5,5.15,West_Block,124.94,20.2
REC-00038,12/14/2024,NE_Monsoon,12,536.26,78.1,17.86,2.2,95,25,22.4,89.3,9.81,East_Block,106.26,19.81
REC-00039,12/14/2024,NE_Monsoon,12,564.44,81.8,16.77,3.36,92.4,20.4,17.8,86.1,7.95,West_Block,118.57,21.01
REC-00040,12/13/2024,NE_Monsoon,12,797.29,82.1,18.63,2.88,102.9,26.9,21.9,80.6,5.77,Lower_Division,171.1,21.46
REC-00041,12/13/2024,NE_Monsoon,12,408.01,78.2,12.94,2.87,101.6,29.5,19.8,85.5,9.89,Lower_Division,83.86,20.55
REC-00042,12/12/2024,NE_Monsoon,12,516.23,73.7,13.5,3,100,28.4,18.7,78.9,5.73,West_Block,103.32,20.01
REC-00043,12/12/2024,NE_Monsoon,12,639.68,76.6,15.56,4.03,96.4,23.7,17.3,80,6.58,East_Block,131.19,20.51
REC-00044,12/12/2024,NE_Monsoon,12,483.56,78.6,14.2,3.98,98.2,22.9,23.1,89.1,5.35,Upper_Division,97.91,20.25
REC-00045,12/12/2024,NE_Monsoon,12,486.34,82.1,15.14,2.86,86.5,20.5,20.2,87,5.21,West_Block,98.14,20.18
REC-00046,12/11/2024,NE_Monsoon,12,553.43,70.6,17.45,2.51,98.4,29.6,18.7,81.2,7.14,West_Block,108.72,19.64
REC-00047,12/11/2024,NE_Monsoon,12,457.21,80,15.47,3.11,102.6,28.2,20.5,79,8.04,West_Block,98.96,21.64
REC-00048,12/11/2024,NE_Monsoon,12,425.53,83.7,15.71,2.56,91.1,27.8,19.5,89.8,8.43,East_Block,84.58,19.88
REC-00049,12/11/2024,NE_Monsoon,12,478.91,77.8,14.7,3.02,93.8,25.8,17.8,82.8,10.49,Upper_Division,97.2,20.3
REC-00050,12/10/2024,NE_Monsoon,12,613.4,75.7,16.31,4.02,106.1,27.8,18.3,81.9,7.41,East_Block,123.01,20.05
REC-00051,12/10/2024,NE_Monsoon,12,367.09,73.2,17.2,2.43,99.3,33.4,17.4,82,5.76,Middle_Division,71.71,19.53
REC-00052,12/9/2024,NE_Monsoon,12,682.76,74.9,17.16,2.64,110.2,19.7,23.5,88,10.47,Middle_Division,134.48,19.7
REC-00053,12/8/2024,NE_Monsoon,12,608.57,79.8,18.37,2.94,98.6,23.2,18.1,80,9.62,West_Block,123.34,20.27
REC-00054,12/8/2024,NE_Monsoon,12,517.58,71.3,17.42,2.87,104.5,23,19.1,87,7.85,West_Block,106.1,20.5
REC-00055,12/7/2024,NE_Monsoon,12,657.09,79.7,16.14,2.56,99.4,25.5,19.3,79.7,9.5,West_Block,142.96,21.76
REC-00056,12/7/2024,NE_Monsoon,12,571.82,75.4,16.37,2.77,93.8,27.5,17.2,84.8,9.32,Upper_Division,119.8,20.95
REC-00057,12/6/2024,NE_Monsoon,12,517.62,75.2,14.53,2.78,99.9,27.3,22,85.7,8.93,Upper_Division,104.18,20.13
REC-00058,12/5/2024,NE_Monsoon,12,336.55,74.6,18.24,3.33,97.7,25.8,20.5,85.3,5.1,West_Block,70.96,21.08
REC-00059,12/5/2024,NE_Monsoon,12,607.72,82,16.34,2.6,100.4,30.6,20,86.8,10.29,Upper_Division,124.6,20.5
REC-00060,12/5/2024,NE_Monsoon,12,854.64,76.3,16.79,2.71,97.3,28.2,17,82,7.26,Lower_Division,184.88,21.63
REC-00061,12/3/2024,NE_Monsoon,12,395.2,73.5,14.06,2.83,106.3,24.2,18,80.1,7.82,West_Block,82.8,20.95
REC-00062,12/3/2024,NE_Monsoon,12,427.94,78.5,16.78,2.6,97.2,25,21.2,78.8,9.25,Lower_Division,93.16,21.77
REC-00063,12/3/2024,NE_Monsoon,12,481.16,78.3,15.18,2.98,95.3,22.9,22.4,83.4,7.97,East_Block,97.15,20.19
REC-00064,12/2/2024,NE_Monsoon,12,408.7,79.6,16.31,3.14,96.7,24.6,18.9,85.7,7.32,Lower_Division,90.6,22.17
REC-00065,12/1/2024,NE_Monsoon,12,636.6,80.1,14.31,2.74,100.4,21.3,17.7,80.9,9.09,East_Block,128.47,20.18
REC-00066,12/1/2024,NE_Monsoon,12,420.27,74.2,16.92,3.3,96.5,26,19.9,88.7,9.63,East_Block,85.5,20.35
REC-00067,12/1/2024,NE_Monsoon,12,707.89,71.5,13.37,3.38,90.9,28.7,20.1,81.5,10.37,West_Block,142.47,20.13
REC-00068,12/1/2024,NE_Monsoon,12,563.71,72.9,16.23,2.82,97.7,25.9,21.4,81.1,5.79,West_Block,116.63,20.69
REC-00069,11/30/2024,NE_Monsoon,11,354.45,79.6,16.83,4,101.6,23.6,17.1,79.6,10.1,East_Block,74.74,21.09
REC-00070,11/30/2024,NE_Monsoon,11,749.86,78.1,17.52,2.08,91.6,23.1,18.2,86.9,5.47,Upper_Division,142.12,18.95
REC-00071,11/29/2024,NE_Monsoon,11,710.96,77.1,14.67,3.29,89.2,31.2,23.6,86.8,6.22,Middle_Division,139.95,19.69
REC-00072,11/29/2024,NE_Monsoon,11,549.36,78.7,15.01,2.16,102.9,23.9,17.5,86.7,7.81,Lower_Division,115.63,21.05
REC-00073,11/29/2024,NE_Monsoon,11,634.93,73.3,15.16,3.32,102.9,26.9,19.5,79.1,10.2,East_Block,131.19,20.66
REC-00074,11/28/2024,NE_Monsoon,11,677.75,81.2,16.18,3.41,101.1,28.9,22.9,81,7.77,Middle_Division,140.84,20.78
REC-00075,11/28/2024,NE_Monsoon,11,582.59,80,14.08,2.46,103.3,24.9,23,88.1,6.81,West_Block,119.32,20.48
REC-00076,11/27/2024,NE_Monsoon,11,497.86,75.3,15.54,3.11,95.6,28.8,17.5,81.8,8.06,West_Block,103.57,20.8
REC-00077,11/26/2024,NE_Monsoon,11,654.13,78.1,16.42,2.33,100.9,27.1,22.6,90,6.99,East_Block,133.82,20.46
REC-00078,11/26/2024,NE_Monsoon,11,825.87,76.4,15.46,2.78,105.3,29.7,18.7,79.3,7.01,Upper_Division,161.51,19.56
REC-00079,11/25/2024,NE_Monsoon,11,545.84,77.4,16.35,3.78,93,28,23.6,83.6,8.48,East_Block,110.5,20.24
REC-00080,11/25/2024,NE_Monsoon,11,584.7,76.3,19.68,2.68,95.3,23.1,22.5,82.2,5.33,Lower_Division,120.98,20.69
REC-00081,11/25/2024,NE_Monsoon,11,645.51,75.9,17.57,3.17,96.1,22.9,20.8,85.1,8.29,Middle_Division,133.62,20.7
REC-00082,11/25/2024,NE_Monsoon,11,615.22,74.2,17.63,2.57,98.5,19.8,18.8,86.7,7.81,Upper_Division,123.3,20.04
REC-00083,11/25/2024,NE_Monsoon,11,250,74.6,14.69,3.6,99.7,29,21,81.2,9.98,East_Block,50.46,20.18
REC-00084,11/24/2024,NE_Monsoon,11,598.67,82.6,17.07,3.25,102.3,28,22.3,79.9,9.99,Lower_Division,123.83,20.68
REC-00085,11/24/2024,NE_Monsoon,11,467.26,78,16.74,3.21,100,24.3,19,85.4,10.56,Lower_Division,100.48,21.5
REC-00086,11/23/2024,NE_Monsoon,11,627.46,82.7,19.24,2.85,99.1,25.7,23.7,82.1,8.58,Upper_Division,124.8,19.89
REC-00087,11/23/2024,NE_Monsoon,11,527.64,80.9,15.39,2.82,98.9,19.6,21.3,78.5,9.94,Lower_Division,110.26,20.9
REC-00088,11/23/2024,NE_Monsoon,11,737.86,71.4,15.9,2.72,107.4,20.7,18.1,87.5,8.93,Lower_Division,150.83,20.44
REC-00089,11/23/2024,NE_Monsoon,11,396.36,74.8,17.31,3.33,97.5,30.5,19.8,81.3,10.58,Lower_Division,83.28,21.01
REC-00090,11/23/2024,NE_Monsoon,11,399.82,79.4,18.17,2.96,103.6,26,22.4,88.1,9.31,Lower_Division,86.19,21.56
REC-00091,11/22/2024,NE_Monsoon,11,539.23,73.7,18.16,2.66,107,24.9,17.4,85,6.52,East_Block,108.6,20.14
REC-00092,11/22/2024,NE_Monsoon,11,529.24,74.7,14.97,4.24,95.5,28.1,23,87.4,5.22,Upper_Division,101.97,19.27
REC-00093,11/22/2024,NE_Monsoon,11,838.24,78.1,15.97,3.26,106.9,22.4,19.5,78.4,5.45,Middle_Division,174.85,20.86
REC-00094,11/22/2024,NE_Monsoon,11,668.67,75.6,16.93,2.75,95.8,25.8,21.9,78.4,10.31,Middle_Division,143.73,21.49
REC-00095,11/21/2024,NE_Monsoon,11,633.79,76.4,16.59,3.45,101.2,28.1,17.6,88.7,8.1,Lower_Division,134.89,21.28
REC-00096,11/21/2024,NE_Monsoon,11,598.16,76.4,19.27,2.82,99,21.9,22.5,85.9,7.82,East_Block,123.3,20.61
REC-00097,11/21/2024,NE_Monsoon,11,554.56,73,16.18,3.31,92.9,24.2,23.1,86.7,9.21,Lower_Division,114.01,20.56
REC-00098,11/21/2024,NE_Monsoon,11,576.93,77.9,17.57,3.84,95.7,28.2,23.3,83.1,6.57,Lower_Division,122.2,21.18
REC-00099,11/20/2024,NE_Monsoon,11,474.93,76,16.59,3.25,99.3,23.3,23.8,80.2,9.84,East_Block,97.06,20.44
REC-00100,11/20/2024,NE_Monsoon,11,531.19,79,17.59,2,99.2,21.5,19.7,89.6,6.46,West_Block,109.61,20.63
REC-00101,11/18/2024,NE_Monsoon,11,363.29,81.7,15.59,2,99.3,24.2,18.7,85.4,9.01,Upper_Division,72.41,19.93
REC-00102,11/18/2024,NE_Monsoon,11,511.4,78.7,19.12,3.19,100.2,28.1,18.4,79.3,6.53,Middle_Division,102.17,19.98
REC-00103,11/17/2024,NE_Monsoon,11,534.29,78,14.45,2.91,100.2,23.2,18,89.8,10.47,East_Block,112.64,21.08
REC-00104,11/17/2024,NE_Monsoon,11,533.97,79.2,17.63,2,112.7,22.4,17.2,81.7,8.99,Middle_Division,104.2,19.51
REC-00105,11/16/2024,NE_Monsoon,11,678.77,84,15.75,3.27,93.4,24.9,21.3,88.4,8.23,East_Block,137.17,20.21
REC-00106,11/16/2024,NE_Monsoon,11,420.8,78.9,17,2.46,106.2,22.7,21.6,90,5.27,East_Block,84.9,20.18
REC-00107,11/16/2024,NE_Monsoon,11,743.65,74.3,16.68,2.88,102.8,28.6,22.7,87.1,9.52,West_Block,158.44,21.31
REC-00108,11/16/2024,NE_Monsoon,11,564.46,82.7,14.46,2.36,89.8,22.3,20.1,80.9,7.12,Lower_Division,111.63,19.78
REC-00109,11/16/2024,NE_Monsoon,11,680.76,81.4,18.3,2,94.6,25.2,20.4,78.3,6.93,Upper_Division,135.55,19.91
REC-00110,11/16/2024,NE_Monsoon,11,716.11,78.8,16.85,3.3,102.3,27.3,18.7,89.1,5.34,West_Block,152.87,21.35
REC-00111,11/15/2024,NE_Monsoon,11,545.96,76.1,14.57,2.56,93.1,27.9,20.8,81.7,8.46,Middle_Division,109.84,20.12
REC-00112,11/15/2024,NE_Monsoon,11,616.01,79,14.55,3.05,91.3,23.2,21,81.1,10.46,Upper_Division,125.11,20.31
REC-00113,11/15/2024,NE_Monsoon,11,606.64,79.2,16.21,3.6,99.9,24.1,18.5,85.3,7.33,Lower_Division,125.38,20.67
REC-00114,11/15/2024,NE_Monsoon,11,463.79,78.8,17.34,2.85,104.2,23,21.4,83.4,8.32,West_Block,98.85,21.31
REC-00115,11/14/2024,NE_Monsoon,11,527.77,84.6,15.81,3.02,97.3,27.9,18.6,82.7,8.37,East_Block,109.38,20.73
REC-00116,11/13/2024,NE_Monsoon,11,599.75,81.3,14.84,2.28,88.4,27.9,23.9,79.5,5.59,Middle_Division,112.3,18.72
REC-00117,11/13/2024,NE_Monsoon,11,417.91,78.1,14.93,2.71,97,22.7,22.6,80.8,8.06,West_Block,89.9,21.51
REC-00118,11/13/2024,NE_Monsoon,11,409.29,83.2,14.15,3.35,107.7,24.2,17.4,84.7,10.43,West_Block,83.93,20.51
REC-00119,11/13/2024,NE_Monsoon,11,536.65,79.8,14.64,2.63,104.2,28.3,23.5,80.8,7.26,Upper_Division,110.14,20.52
REC-00120,11/12/2024,NE_Monsoon,11,828.32,77.5,16.59,3.1,96.5,25.4,22.5,86.5,5.2,Middle_Division,171.79,20.74
REC-00121,11/12/2024,NE_Monsoon,11,465.49,73.2,15.64,3.04,101.5,22.5,20.1,85.2,7.92,Middle_Division,97.99,21.05
REC-00122,11/11/2024,NE_Monsoon,11,559.82,79,15.85,3.46,96.5,25.8,22.5,81.7,5.46,Middle_Division,115.92,20.71
REC-00123,11/10/2024,NE_Monsoon,11,425.61,78.6,17.97,3.03,98.9,24.3,23,89.1,7.76,Upper_Division,86.39,20.3
REC-00124,11/10/2024,NE_Monsoon,11,250,78.2,16.1,2.81,93,26.5,20,81.7,7.87,Middle_Division,52.12,20.85
REC-00125,11/9/2024,NE_Monsoon,11,614.81,77.8,14.08,2.52,100.1,22.9,24,78.7,8.94,Upper_Division,125.12,20.35
REC-00126,11/9/2024,NE_Monsoon,11,505.93,75.8,14.94,3.15,94.9,25,24,87.8,8.49,East_Block,98.57,19.48
REC-00127,11/8/2024,NE_Monsoon,11,385.97,80.3,15.66,2.41,89,26.6,22.4,78.1,7.36,Upper_Division,73.5,19.04
REC-00128,11/8/2024,NE_Monsoon,11,653.57,77.9,14.81,3.05,92.4,22,20.8,83.5,9.78,Lower_Division,135.6,20.75
REC-00129,11/8/2024,NE_Monsoon,11,529.25,77.4,18.57,2.31,89.9,29.4,23.2,89.5,9.46,Middle_Division,100.16,18.92
REC-00130,11/7/2024,NE_Monsoon,11,631.35,78.9,15.27,4.08,95,27.2,21.5,85.4,5.38,Lower_Division,132.63,21.01
REC-00131,11/7/2024,NE_Monsoon,11,791.61,75.1,16.2,2.82,98.9,21,19.4,87.3,8.75,Lower_Division,167.05,21.1
REC-00132,11/7/2024,NE_Monsoon,11,583.91,81.9,14.94,2.61,102.4,26.8,19.7,80.5,5.69,East_Block,122.28,20.94
REC-00133,11/7/2024,NE_Monsoon,11,480,79.8,16.06,3.73,107,27.2,21.6,79.5,6.92,West_Block,97.73,20.36
REC-00134,11/7/2024,NE_Monsoon,11,341.47,77,13.08,3.29,98.7,23.5,18.4,88.6,8.66,East_Block,71.38,20.9
REC-00135,11/6/2024,NE_Monsoon,11,650.51,80.2,14.78,3.61,97.3,27.7,21.6,80.1,8.09,Upper_Division,129.16,19.86
REC-00136,11/6/2024,NE_Monsoon,11,647.52,80.2,16.87,3.02,90.5,26.5,20.8,85.1,7.88,Upper_Division,135.61,20.94
REC-00137,11/6/2024,NE_Monsoon,11,589.44,77.9,17.35,2.69,100.4,24.2,18.7,86.7,10.62,Middle_Division,127.4,21.61
REC-00138,11/4/2024,NE_Monsoon,11,581.28,74.7,13.9,3.36,105.2,23.5,22.5,84.7,5.03,Lower_Division,119.06,20.48
REC-00139,11/4/2024,NE_Monsoon,11,535.49,76.9,16.63,2.56,95.8,27.2,24,82.4,7.54,East_Block,114.35,21.35
REC-00140,11/4/2024,NE_Monsoon,11,346.14,76.3,18.19,3.84,94.2,28.5,17.7,85.1,7.73,West_Block,71.09,20.54
REC-00141,11/4/2024,NE_Monsoon,11,797.38,76.3,17.81,3.51,101,27.3,20.5,78.9,5.33,East_Block,164.11,20.58
REC-00142,11/4/2024,NE_Monsoon,11,560.61,72.4,18.22,2.43,97,22.8,17.6,80.6,8.39,Middle_Division,111.77,19.94
REC-00143,11/4/2024,NE_Monsoon,11,696.52,81.3,16.87,2.89,93.2,23.9,21,85.1,6.05,East_Block,142.71,20.49
REC-00144,11/4/2024,NE_Monsoon,11,588.78,76.4,15.78,2.77,90,26.5,20.2,83.8,5.76,West_Block,123.66,21
REC-00145,11/4/2024,NE_Monsoon,11,749.35,78.9,15.31,2.7,100.3,22,22.3,85.9,10.42,West_Block,159.41,21.27
REC-00146,11/3/2024,NE_Monsoon,11,592.6,82.7,15.67,2.58,93.4,24.1,22.4,78.8,7.76,Lower_Division,124.41,20.99
REC-00147,11/3/2024,NE_Monsoon,11,338.46,78.3,14.46,3.12,98.4,27.1,17.4,83,6.47,Lower_Division,71.25,21.05
REC-00148,11/2/2024,NE_Monsoon,11,390.02,77.1,19.62,3.04,99.7,22.6,18.1,80.7,6.42,Middle_Division,80.22,20.57
REC-00149,11/1/2024,NE_Monsoon,11,428.1,76.9,16.09,3.21,101.5,25.5,20.8,79,7.6,Lower_Division,90.71,21.19
REC-00150,11/1/2024,NE_Monsoon,11,496.19,78.2,19.02,3.88,92.8,22.9,20.6,87.7,7.6,Upper_Division,93.29,18.8
REC-00151,10/31/2024,NE_Monsoon,10,464.92,78.3,15.23,3.58,94.2,20.7,23.1,88.6,9.93,Lower_Division,95.29,20.5
REC-00152,10/31/2024,NE_Monsoon,10,542.67,78,14.9,3.04,102.4,22.1,21.6,87.9,7.16,Upper_Division,107.63,19.83
REC-00153,10/31/2024,NE_Monsoon,10,593.51,77.4,18.05,3.59,100.7,27.3,20.7,79.9,8.94,East_Block,122.68,20.67
REC-00154,10/31/2024,NE_Monsoon,10,518.13,80.3,16.73,2.73,95.4,25.9,18.1,83.3,8.49,Upper_Division,107.21,20.69
REC-00155,10/30/2024,NE_Monsoon,10,540.44,81,16.68,2.47,100.1,24.4,18.1,78.2,8.17,Middle_Division,114.73,21.23
REC-00156,10/30/2024,NE_Monsoon,10,453.36,79.1,16.89,3.14,99.5,30.4,19.2,83.7,9.66,West_Block,91.17,20.11
REC-00157,10/30/2024,NE_Monsoon,10,705.64,79.6,15.97,2.5,95.5,27.5,17.7,80.9,5.8,Middle_Division,147.12,20.85
REC-00158,10/29/2024,NE_Monsoon,10,641.63,81.7,17.89,2.24,104.2,24.7,23.9,85.6,5.72,Middle_Division,132.57,20.66
REC-00159,10/28/2024,NE_Monsoon,10,501.75,81,16.79,2.75,101.9,29.1,20.6,81.7,6.2,Middle_Division,104.45,20.82
REC-00160,10/28/2024,NE_Monsoon,10,592.08,77.3,16.73,3.32,103.5,26.2,21.7,84.7,5.63,Middle_Division,120.8,20.4
REC-00161,10/28/2024,NE_Monsoon,10,566.9,75.2,17.65,3.13,97.7,24.4,17.3,86.9,10.2,Lower_Division,122.01,21.52
REC-00162,10/28/2024,NE_Monsoon,10,573.52,76.8,16.48,3.44,95.4,27,17.8,86.4,8.06,East_Block,120.39,20.99
REC-00163,10/28/2024,NE_Monsoon,10,547.67,74.8,15.55,3.4,89.9,21.8,22.2,78.6,10.12,West_Block,111.84,20.42
REC-00164,10/27/2024,NE_Monsoon,10,658.3,76.6,16.32,3.37,94.8,25.2,24,88.3,7.95,Upper_Division,135.02,20.51
REC-00165,10/27/2024,NE_Monsoon,10,581.82,75.9,16.96,3.33,111.4,19.6,20,87.3,8.41,Upper_Division,113.42,19.49
REC-00166,10/27/2024,NE_Monsoon,10,743.47,73.2,17.97,3.82,101.7,25.2,17.7,82.6,7.76,East_Block,150.2,20.2
REC-00167,10/27/2024,NE_Monsoon,10,555.23,74,18.54,2.69,99,22.8,20.3,78.5,5.79,Middle_Division,111.54,20.09
REC-00168,10/27/2024,NE_Monsoon,10,369.43,75.7,17.14,3.04,90.7,24.1,22.6,84.9,7.91,Middle_Division,75.03,20.31
REC-00169,10/26/2024,NE_Monsoon,10,443.65,81.2,16.4,3.05,87.2,24.9,21.9,89.9,5.75,West_Block,88.35,19.91
REC-00170,10/26/2024,NE_Monsoon,10,333.62,80.7,13.62,3.13,100.5,20.3,22.8,89.5,9.65,Upper_Division,65.46,19.62
REC-00171,10/25/2024,NE_Monsoon,10,743.47,75.8,17.35,2.87,93.5,18.5,17.8,83,9.26,Middle_Division,149.71,20.14
REC-00172,10/25/2024,NE_Monsoon,10,697.17,80.3,17.74,3.59,89.3,25.6,23.1,86.7,5.68,Lower_Division,138.54,19.87
REC-00173,10/25/2024,NE_Monsoon,10,346.35,80.2,15.03,4.34,95.6,19.1,22.1,85.8,9.79,West_Block,69.95,20.2
REC-00174,10/24/2024,NE_Monsoon,10,406.76,77.2,17.38,3.5,94.6,29.2,22.8,88.3,10.19,Lower_Division,80.27,19.73
REC-00175,10/24/2024,NE_Monsoon,10,740.28,74.4,17.17,2.51,105.4,24.2,18,88.7,6.96,Lower_Division,157.08,21.22
REC-00176,10/23/2024,NE_Monsoon,10,482.54,82.8,15.69,2.16,94,27.9,19.6,80.6,10.6,East_Block,96.69,20.04
REC-00177,10/23/2024,NE_Monsoon,10,493.14,77.7,15.98,3.27,98,23.7,17.2,82.7,5.91,East_Block,100.39,20.36
REC-00178,10/23/2024,NE_Monsoon,10,538.79,73.5,16.34,3.12,102.5,20.4,19.4,84.5,5.87,Lower_Division,118.09,21.92
REC-00179,10/22/2024,NE_Monsoon,10,626.57,76.1,16.75,2.1,95.3,22.6,17.4,82.1,6.53,East_Block,129.37,20.65
REC-00180,10/22/2024,NE_Monsoon,10,665.37,85,13.26,2.91,92.5,24.4,19.8,89.9,9.99,Lower_Division,133.91,20.13
REC-00181,10/22/2024,NE_Monsoon,10,494.16,79.4,15.84,4.32,90.5,25.8,20.7,88.4,5.74,Middle_Division,101.42,20.52
REC-00182,10/22/2024,NE_Monsoon,10,624.59,77.8,15.45,3.19,97.9,28.4,21.1,82.5,6.62,East_Block,130.67,20.92
REC-00183,10/22/2024,NE_Monsoon,10,578.86,77,12.37,4.36,96.7,28.6,22.4,84.9,10.42,Lower_Division,117.01,20.21
REC-00184,10/20/2024,NE_Monsoon,10,526.61,78.6,17.7,3.3,85,27,17.1,83.7,8.9,West_Block,105.1,19.96
REC-00185,10/19/2024,NE_Monsoon,10,433.4,79.5,13.93,2.69,102.3,27.9,19.1,78.2,9.18,West_Block,90.75,20.94
REC-00186,10/19/2024,NE_Monsoon,10,646.05,81.2,17.13,3.59,101.5,26.1,17.6,83.9,5.44,East_Block,127.95,19.8
REC-00187,10/19/2024,NE_Monsoon,10,454.91,75.5,15.54,2.05,99.1,25,22.6,86.5,5.28,West_Block,94.57,20.79
REC-00188,10/17/2024,NE_Monsoon,10,430.24,80.1,14.85,3.44,94.9,24.5,23.3,81.9,7.7,Upper_Division,85.96,19.98
