temp,vibration,rpm,overall_status
47,0.22,271,CRITICAL
73,0.2,255,NORMAL
51,0.66,326,NORMAL
81,0.99,308,CRITICAL
55,0.25,336,CRITICAL
75,1.0,348,NORMAL
76,0.92,252,NORMAL
56,0.6,274,NORMAL
49,0.83,310,NORMAL
45,1.05,264,NORMAL
59,0.4,289,CRITICAL
81,0.65,320,NORMAL
65,0.67,276,NORMAL
62,0.71,294,NORMAL
41,0.35,336,NORMAL
46,1.15,274,WARNING
48,0.39,262,NORMAL
49,0.4,265,NORMAL
40,0.97,294,NORMAL
39,1.04,338,NORMAL
79,0.51,269,NORMAL
82,0.64,258,CRITICAL
50,0.35,301,NORMAL
44,1.05,288,NORMAL
48,0.77,318,NORMAL
66,0.73,286,NORMAL
44,0.57,298,NORMAL
76,0.24,322,NORMAL
68,0.95,277,WARNING
75,1.11,324,WARNING
76,0.7,345,NORMAL
59,0.42,268,WARNING
38,1.04,344,NORMAL
85,1.02,299,NORMAL
54,0.66,264,NORMAL
50,1.14,294,NORMAL
81,0.56,276,NORMAL
46,0.31,270,NORMAL
81,0.97,293,NORMAL
57,0.42,284,NORMAL
38,0.98,281,NORMAL
58,0.96,306,NORMAL
49,0.88,333,NORMAL
76,0.4,279,NORMAL
71,0.4,316,NORMAL
38,0.21,322,NORMAL
80,0.3,322,NORMAL
70,0.54,333,NORMAL
78,0.92,320,NORMAL
39,0.67,318,NORMAL
64,0.86,294,NORMAL
42,1.01,343,NORMAL
59,0.62,302,NORMAL
64,0.3,286,WARNING
43,0.51,302,WARNING
75,0.34,281,NORMAL
77,0.45,288,NORMAL
77,0.83,287,WARNING
59,1.01,276,NORMAL
85,0.26,282,WARNING
75,0.78,288,NORMAL
72,0.74,281,WARNING
59,0.37,308,NORMAL
43,1.0,285,WARNING
68,0.26,328,WARNING
83,0.93,334,NORMAL
51,0.71,322,NORMAL
37,0.59,329,NORMAL
55,0.77,292,NORMAL
45,0.88,331,NORMAL
75,0.43,285,NORMAL
80,0.79,300,NORMAL
71,0.88,322,CRITICAL
71,0.75,275,NORMAL
42,1.04,310,NORMAL
45,0.46,319,WARNING
52,0.53,254,CRITICAL
69,0.58,336,NORMAL
69,0.97,267,NORMAL
65,0.83,275,NORMAL
58,0.96,257,NORMAL
48,0.79,277,NORMAL
43,0.2,338,NORMAL
51,0.99,280,NORMAL
39,0.59,266,NORMAL
85,0.33,348,NORMAL
37,1.12,254,WARNING
35,0.6,253,NORMAL
67,0.28,323,NORMAL
71,0.93,262,CRITICAL
72,1.19,338,NORMAL
45,0.22,258,NORMAL
65,0.94,340,NORMAL
80,0.48,305,NORMAL
46,0.7,266,NORMAL
72,0.96,305,NORMAL
41,0.45,274,NORMAL
64,0.71,320,NORMAL
51,0.95,319,NORMAL
84,1.18,296,NORMAL
40,0.66,333,NORMAL
79,0.47,311,NORMAL
44,0.76,252,CRITICAL
79,0.9,283,NORMAL
58,1.0,339,NORMAL
54,0.44,266,NORMAL
72,1.16,347,NORMAL
62,0.8,256,NORMAL
78,0.24,263,NORMAL
35,0.64,331,NORMAL
50,1.15,346,NORMAL
40,0.52,306,NORMAL
60,0.76,304,NORMAL
42,1.07,250,NORMAL
43,0.69,304,NORMAL
53,0.85,337,NORMAL
48,0.52,271,NORMAL
37,0.64,319,NORMAL
40,0.67,311,NORMAL
43,0.94,328,CRITICAL
61,0.51,280,NORMAL
74,0.24,265,CRITICAL
65,0.38,273,NORMAL
76,1.0,291,NORMAL
78,0.42,312,NORMAL
75,1.01,314,WARNING
41,0.68,310,NORMAL
37,1.16,252,NORMAL
81,0.37,338,NORMAL
52,1.17,325,NORMAL
64,0.64,339,NORMAL
66,0.67,350,WARNING
49,0.73,350,NORMAL
62,1.05,318,NORMAL
45,0.86,341,NORMAL
50,1.16,281,NORMAL
84,0.96,288,NORMAL
50,1.09,309,WARNING
42,1.03,306,NORMAL
66,0.79,350,CRITICAL
79,1.02,317,NORMAL
43,0.46,286,NORMAL
49,0.58,324,NORMAL
53,0.68,348,CRITICAL
73,0.31,296,NORMAL
72,1.06,266,NORMAL
49,0.55,347,NORMAL
83,0.62,315,CRITICAL
79,1.14,276,NORMAL
84,0.41,257,NORMAL
47,1.14,256,NORMAL
49,0.37,302,NORMAL
76,0.32,320,NORMAL
81,0.94,292,NORMAL
53,1.05,321,WARNING
75,0.26,344,NORMAL
50,0.61,273,WARNING
62,0.47,268,NORMAL
72,1.18,322,NORMAL
37,0.89,280,CRITICAL
77,1.01,311,NORMAL
43,0.84,309,NORMAL
79,1.05,294,NORMAL
36,0.28,273,CRITICAL
38,0.83,287,NORMAL
47,1.03,294,NORMAL
78,0.96,334,WARNING
35,1.19,302,NORMAL
69,0.47,265,NORMAL
79,0.53,342,NORMAL
42,0.42,265,NORMAL
59,0.73,325,WARNING
75,0.45,350,NORMAL
36,0.7,311,NORMAL
71,0.67,329,NORMAL
72,0.59,275,NORMAL
45,0.37,301,NORMAL
71,1.19,279,WARNING
82,0.87,260,WARNING
38,0.54,302,NORMAL
46,0.92,337,NORMAL
78,0.87,296,WARNING
66,0.49,280,NORMAL
74,0.35,306,NORMAL
76,1.19,333,NORMAL
40,0.96,311,NORMAL
78,0.44,304,CRITICAL
44,0.22,251,NORMAL
58,0.29,270,NORMAL
71,0.21,252,NORMAL
69,0.54,268,WARNING
38,1.0,302,NORMAL
82,0.58,326,NORMAL
48,0.34,295,NORMAL
67,0.36,300,NORMAL
69,0.24,336,NORMAL
46,0.46,283,NORMAL
64,1.06,350,NORMAL
47,0.9,280,NORMAL
83,0.66,331,WARNING
39,0.35,334,NORMAL
49,0.48,256,NORMAL
50,1.12,276,NORMAL
57,0.71,256,NORMAL
47,0.31,333,WARNING
35,0.8,312,NORMAL
68,0.46,320,NORMAL
41,1.15,335,NORMAL
73,1.03,280,CRITICAL
71,1.02,323,CRITICAL
62,0.88,262,NORMAL
58,0.31,253,NORMAL
65,0.44,319,WARNING
45,0.79,290,NORMAL
64,1.13,336,NORMAL
42,0.69,346,NORMAL
49,0.77,344,NORMAL
73,0.69,334,NORMAL
78,1.09,258,NORMAL
65,1.14,304,NORMAL
59,0.22,314,NORMAL
79,0.6,253,WARNING
54,0.38,324,CRITICAL
61,0.43,297,WARNING
40,0.28,342,NORMAL
80,0.68,258,NORMAL
39,0.77,339,NORMAL
47,0.31,318,NORMAL
66,0.51,260,NORMAL
72,0.46,281,NORMAL
53,1.05,254,NORMAL
52,0.88,272,NORMAL
38,1.2,260,NORMAL
47,0.69,294,NORMAL
59,0.64,253,NORMAL
48,0.99,340,NORMAL
56,0.95,290,NORMAL
73,0.3,328,NORMAL
75,0.48,262,NORMAL
39,1.0,304,NORMAL
62,0.72,344,NORMAL
39,1.11,258,NORMAL
70,0.84,281,CRITICAL
38,0.32,267,NORMAL
77,0.9,269,NORMAL
38,0.83,291,WARNING
49,1.12,348,NORMAL
65,1.02,305,CRITICAL
70,0.21,261,NORMAL
35,0.62,272,NORMAL
58,0.84,271,NORMAL
70,0.21,261,NORMAL
53,0.87,319,NORMAL
51,0.36,288,NORMAL
75,0.45,294,NORMAL
69,0.84,253,CRITICAL
60,1.11,295,NORMAL
58,0.56,254,NORMAL
74,0.53,254,NORMAL
56,0.76,282,WARNING
45,1.04,289,WARNING
69,0.75,309,NORMAL
70,1.02,289,NORMAL
80,0.54,333,NORMAL
46,0.6,310,NORMAL
50,1.16,307,NORMAL
56,0.68,278,NORMAL
66,0.57,338,NORMAL
71,0.3,311,WARNING
67,0.78,341,NORMAL
66,1.13,287,NORMAL
74,1.11,300,NORMAL
58,1.04,317,WARNING
35,0.21,264,NORMAL
56,0.65,305,NORMAL
70,0.21,258,CRITICAL
68,0.82,273,NORMAL
84,0.35,300,WARNING
62,0.62,265,NORMAL
44,0.4,290,NORMAL
39,0.83,317,CRITICAL
35,0.8,307,NORMAL
69,0.27,287,NORMAL
71,0.55,336,NORMAL
58,1.12,290,NORMAL
49,1.03,300,NORMAL
81,0.94,301,NORMAL
56,0.55,333,NORMAL
61,0.66,349,NORMAL
59,0.93,294,CRITICAL
55,0.43,311,NORMAL
37,0.92,273,NORMAL
43,0.67,336,NORMAL
69,0.56,281,NORMAL
62,0.99,283,WARNING
77,0.51,347,CRITICAL
57,0.97,321,WARNING
38,1.03,281,NORMAL
37,0.57,345,NORMAL
64,1.09,261,NORMAL
60,0.65,277,NORMAL
71,0.42,274,NORMAL
57,1.1,329,NORMAL
36,1.13,338,NORMAL
44,0.85,320,NORMAL
57,0.95,347,CRITICAL
69,1.13,347,NORMAL
72,1.09,318,WARNING
74,0.73,251,WARNING
49,0.41,332,NORMAL
70,0.78,340,CRITICAL
73,0.58,316,NORMAL
40,0.79,349,NORMAL
57,0.25,250,NORMAL
39,1.11,338,NORMAL
66,0.29,269,NORMAL
63,0.6,271,NORMAL
48,0.79,331,NORMAL
72,0.84,344,NORMAL
51,0.58,265,NORMAL
77,1.11,331,WARNING
55,0.82,337,NORMAL
64,0.67,314,NORMAL
77,0.44,348,NORMAL
50,1.07,341,NORMAL
50,0.46,321,NORMAL
73,0.8,327,WARNING
38,0.9,335,NORMAL
49,0.33,279,NORMAL
76,0.44,251,NORMAL
59,0.78,337,NORMAL
75,1.06,330,NORMAL
65,0.99,335,WARNING
51,0.29,348,CRITICAL
81,0.66,300,CRITICAL
41,1.02,296,NORMAL
53,0.25,325,NORMAL
77,0.58,250,NORMAL
84,0.7,323,CRITICAL
77,0.97,347,NORMAL
43,0.35,331,NORMAL
52,0.85,306,WARNING
82,0.75,289,NORMAL
39,0.95,318,NORMAL
71,0.38,341,NORMAL
73,0.6,271,CRITICAL
36,0.97,311,NORMAL
62,0.35,255,NORMAL
75,0.98,294,CRITICAL
63,1.13,294,NORMAL
43,0.27,331,CRITICAL
69,0.23,259,NORMAL
47,0.8,324,CRITICAL
76,0.74,274,NORMAL
78,0.33,293,NORMAL
42,1.16,305,NORMAL
68,0.44,309,NORMAL
67,0.25,253,NORMAL
44,1.14,285,NORMAL
71,0.92,273,CRITICAL
75,0.37,322,WARNING
44,0.37,271,NORMAL
56,0.98,283,WARNING
48,0.37,318,NORMAL
50,0.49,337,NORMAL
77,0.24,317,NORMAL
59,0.42,297,CRITICAL
45,0.89,323,NORMAL
81,0.34,341,NORMAL
37,1.0,277,NORMAL
41,0.64,313,NORMAL
69,0.39,282,NORMAL
46,1.2,286,WARNING
36,0.91,303,NORMAL
47,0.75,265,NORMAL
35,0.2,337,NORMAL
40,1.07,253,NORMAL
52,1.12,346,NORMAL
68,1.04,348,CRITICAL
61,1.2,274,WARNING
40,0.26,339,NORMAL
35,1.09,348,NORMAL
47,0.53,315,CRITICAL
53,0.7,256,NORMAL
44,0.98,272,NORMAL
40,0.91,344,CRITICAL
77,0.42,335,NORMAL
67,0.73,273,NORMAL
78,0.76,262,NORMAL
40,0.42,321,CRITICAL
70,0.42,267,NORMAL
35,1.07,253,CRITICAL
44,0.85,282,NORMAL
76,1.16,287,NORMAL
71,0.34,315,NORMAL
73,0.94,284,NORMAL
78,0.41,305,NORMAL
45,1.08,328,NORMAL
39,0.5,308,CRITICAL
59,0.35,350,NORMAL
64,0.67,322,NORMAL
36,0.4,261,NORMAL
60,0.7,258,NORMAL
53,0.76,268,WARNING
78,0.53,263,WARNING
72,0.32,268,NORMAL
39,0.67,346,NORMAL
69,0.38,333,CRITICAL
40,0.87,288,NORMAL
49,1.02,256,NORMAL
35,0.24,329,NORMAL
84,0.53,253,NORMAL
60,0.74,312,NORMAL
77,1.09,325,NORMAL
80,0.94,264,NORMAL
54,1.01,338,NORMAL
41,0.21,262,NORMAL
75,1.06,252,WARNING
72,0.5,295,NORMAL
52,0.49,309,WARNING
43,0.49,320,NORMAL
72,1.17,311,WARNING
58,0.65,283,NORMAL
84,0.55,329,NORMAL
39,0.76,253,CRITICAL
82,1.08,347,NORMAL
82,1.2,313,NORMAL
62,0.3,313,NORMAL
80,0.26,285,NORMAL
70,0.23,280,CRITICAL
78,0.95,311,WARNING
46,0.3,318,NORMAL
38,0.88,348,WARNING
55,0.2,292,NORMAL
83,0.97,261,NORMAL
80,0.67,337,NORMAL
67,1.12,265,NORMAL
59,0.52,270,NORMAL
79,0.26,267,NORMAL
54,0.54,324,WARNING
77,0.4,293,NORMAL
48,0.94,347,NORMAL
73,0.91,331,NORMAL
79,0.47,340,WARNING
85,1.19,257,NORMAL
54,0.57,284,NORMAL
40,0.41,256,NORMAL
42,1.14,346,NORMAL
55,0.33,333,NORMAL
69,0.96,280,NORMAL
47,1.17,266,NORMAL
80,0.54,304,WARNING
85,0.75,344,CRITICAL
36,0.49,263,NORMAL
80,0.58,317,NORMAL
58,1.07,302,NORMAL
69,0.22,253,CRITICAL
57,0.52,338,NORMAL
70,0.25,279,NORMAL
83,0.35,265,CRITICAL
40,0.95,337,CRITICAL
46,0.41,308,NORMAL
50,0.27,271,WARNING
80,1.08,313,NORMAL
58,1.06,294,NORMAL
53,1.19,334,WARNING
83,0.79,296,CRITICAL
55,0.23,320,NORMAL
55,0.84,272,WARNING
54,1.15,271,NORMAL
56,0.92,323,CRITICAL
57,0.88,265,NORMAL
53,0.8,282,NORMAL
38,0.45,350,NORMAL
47,0.96,346,NORMAL
43,1.13,271,NORMAL
40,0.97,300,NORMAL
73,0.36,272,CRITICAL
75,0.95,314,NORMAL
41,0.94,324,NORMAL
60,0.27,341,WARNING
70,1.05,258,NORMAL
77,0.23,267,CRITICAL
78,1.09,321,WARNING
71,1.04,252,NORMAL
56,0.51,298,WARNING
66,1.03,308,NORMAL
83,0.2,263,CRITICAL
78,0.67,252,NORMAL
72,0.68,266,WARNING
73,0.22,260,NORMAL
70,0.85,264,CRITICAL
56,0.43,326,NORMAL
66,0.78,285,NORMAL
68,0.47,333,NORMAL
48,0.45,303,NORMAL
69,0.7,337,NORMAL
62,0.31,272,NORMAL
40,0.55,280,WARNING
67,0.72,275,WARNING
42,1.2,317,NORMAL
46,0.22,308,NORMAL
62,0.95,266,WARNING
58,0.83,258,NORMAL
62,0.64,250,NORMAL
76,1.0,274,NORMAL
35,0.48,255,CRITICAL
45,0.83,269,NORMAL
80,1.14,337,NORMAL
54,0.9,296,NORMAL
52,0.62,330,WARNING
83,0.66,279,NORMAL
52,0.96,270,WARNING
49,0.38,253,CRITICAL
43,0.24,262,WARNING
38,0.48,259,NORMAL
70,0.6,320,NORMAL
35,1.11,327,NORMAL
45,1.17,347,CRITICAL
76,0.69,267,WARNING
35,0.59,324,NORMAL
75,0.89,308,CRITICAL
64,0.44,320,NORMAL
61,1.15,329,NORMAL
35,0.74,291,NORMAL
47,0.34,293,WARNING
69,0.67,342,CRITICAL
68,0.55,329,WARNING
70,0.64,301,NORMAL
70,0.4,257,NORMAL
82,0.71,329,NORMAL
58,1.04,267,NORMAL
77,0.81,344,NORMAL
37,0.38,261,NORMAL
64,1.08,328,NORMAL
35,0.44,254,NORMAL
42,0.51,292,NORMAL
66,0.99,339,NORMAL
44,0.33,267,NORMAL
65,0.27,313,NORMAL
54,1.04,290,CRITICAL
45,0.47,277,CRITICAL
61,0.74,316,NORMAL
35,0.62,298,NORMAL
80,0.57,324,NORMAL
84,0.47,301,NORMAL
71,0.56,318,NORMAL
39,0.35,254,NORMAL
49,1.04,257,NORMAL
44,1.09,317,NORMAL
58,0.82,274,NORMAL
42,0.48,264,NORMAL
70,0.71,305,NORMAL
49,0.53,325,CRITICAL
75,0.72,304,NORMAL
40,0.75,309,NORMAL
81,0.46,339,NORMAL
65,0.91,315,NORMAL
56,0.42,284,NORMAL
44,0.38,293,NORMAL
83,1.0,308,NORMAL
42,0.29,335,NORMAL
57,1.14,310,NORMAL
49,1.19,276,WARNING
56,0.99,250,NORMAL
79,0.6,284,NORMAL
57,0.69,263,WARNING
75,0.35,304,NORMAL
38,0.49,319,WARNING
48,0.7,341,NORMAL
60,0.75,309,NORMAL
81,1.06,286,NORMAL
74,0.55,342,NORMAL
44,0.24,333,WARNING
58,0.87,319,NORMAL
77,1.0,290,NORMAL
40,0.67,283,WARNING
64,0.36,260,NORMAL
45,0.99,257,NORMAL
61,0.87,264,NORMAL
67,0.72,331,CRITICAL
49,1.11,304,NORMAL
59,0.93,324,NORMAL
79,0.51,335,NORMAL
37,0.61,329,NORMAL
36,0.66,261,WARNING
60,0.24,275,NORMAL
39,0.59,332,CRITICAL
35,0.7,326,NORMAL
60,0.82,252,WARNING
75,1.08,325,NORMAL
43,1.03,318,NORMAL
48,0.75,286,WARNING
36,0.79,266,NORMAL
58,0.25,301,CRITICAL
50,0.23,295,CRITICAL
36,1.11,302,WARNING
43,0.97,332,WARNING
66,0.82,332,NORMAL
35,0.73,323,NORMAL
40,1.02,300,WARNING
72,1.14,277,NORMAL
55,1.11,272,WARNING
56,0.73,305,NORMAL
75,0.89,251,NORMAL
84,0.3,269,WARNING
52,0.93,306,NORMAL
74,0.54,344,NORMAL
70,0.78,316,NORMAL
47,1.09,319,NORMAL
85,1.15,290,CRITICAL
52,0.78,250,NORMAL
57,0.65,320,CRITICAL
48,0.79,286,NORMAL
71,1.07,317,NORMAL
78,0.69,314,WARNING
38,0.23,314,NORMAL
73,1.13,323,NORMAL
51,0.94,250,NORMAL
37,0.76,313,NORMAL
73,0.47,334,CRITICAL
52,0.96,253,NORMAL
47,1.02,329,NORMAL
72,0.99,339,NORMAL
54,1.15,332,NORMAL
39,0.35,324,CRITICAL
39,0.26,272,WARNING
40,0.84,293,WARNING
58,0.74,264,NORMAL
71,0.46,252,NORMAL
58,0.86,308,NORMAL
71,0.7,326,CRITICAL
79,0.8,324,NORMAL
76,1.0,309,WARNING
60,0.89,305,WARNING
61,0.59,285,NORMAL
85,0.81,308,NORMAL
51,1.06,281,CRITICAL
74,0.58,348,WARNING
48,1.07,344,NORMAL
38,1.13,301,NORMAL
45,1.13,273,WARNING
50,0.34,315,NORMAL
51,0.64,317,NORMAL
40,0.54,288,WARNING
46,1.09,264,NORMAL
46,0.49,296,NORMAL
66,1.01,303,WARNING
77,0.47,277,CRITICAL
58,0.68,308,NORMAL
51,0.3,314,NORMAL
46,0.4,271,CRITICAL
35,0.42,327,WARNING
38,1.18,271,NORMAL
66,0.64,335,NORMAL
69,1.07,259,WARNING
47,1.09,327,WARNING
66,0.97,319,CRITICAL
71,0.75,266,NORMAL
68,0.86,282,NORMAL
57,1.01,275,NORMAL
82,0.77,273,CRITICAL
79,0.97,289,NORMAL
53,0.93,309,WARNING
49,0.47,341,NORMAL
60,0.61,301,NORMAL
81,0.32,287,WARNING
44,1.04,304,NORMAL
49,0.53,311,WARNING
43,0.82,310,NORMAL
74,1.03,332,CRITICAL
84,0.58,336,NORMAL
80,0.98,266,NORMAL
40,1.17,281,CRITICAL
52,0.29,311,NORMAL
49,1.15,339,NORMAL
46,0.67,284,WARNING
55,0.72,257,WARNING
64,0.23,338,WARNING
47,0.99,316,NORMAL
42,0.92,278,WARNING
81,0.3,269,NORMAL
43,0.86,318,CRITICAL
68,1.17,270,CRITICAL
47,0.74,304,CRITICAL
59,0.67,312,NORMAL
63,0.53,274,NORMAL
75,0.75,331,NORMAL
61,0.64,289,CRITICAL
82,1.09,272,NORMAL
72,0.37,273,NORMAL
45,0.31,342,NORMAL
53,0.32,325,NORMAL
77,0.73,287,NORMAL
73,0.62,301,NORMAL
79,0.6,252,NORMAL
58,0.84,347,NORMAL
50,0.89,319,NORMAL
67,0.94,267,WARNING
82,0.63,320,NORMAL
42,0.52,306,NORMAL
67,0.9,303,NORMAL
61,1.18,282,NORMAL
78,1.07,256,NORMAL
48,0.51,316,NORMAL
55,1.0,262,NORMAL
63,0.89,308,NORMAL
42,0.54,282,WARNING
74,0.72,251,NORMAL
56,1.09,257,NORMAL
44,0.58,348,NORMAL
38,0.55,297,WARNING
62,0.45,347,NORMAL
51,0.39,310,WARNING
64,0.52,309,NORMAL
62,1.02,258,WARNING
37,0.94,341,NORMAL
77,0.46,290,NORMAL
59,0.82,261,NORMAL
46,0.82,279,NORMAL
75,0.84,328,NORMAL
59,1.09,253,NORMAL
44,0.89,321,NORMAL
47,0.5,345,NORMAL
42,0.79,296,NORMAL
74,0.64,266,WARNING
61,1.05,342,WARNING
61,0.81,340,NORMAL
36,0.64,260,NORMAL
72,0.68,292,NORMAL
83,0.8,258,NORMAL
47,1.1,266,WARNING
38,0.62,342,WARNING
57,0.63,291,NORMAL
37,0.23,269,NORMAL
69,0.83,296,NORMAL
57,0.27,291,NORMAL
42,0.65,270,NORMAL
48,0.62,321,NORMAL
52,0.45,296,NORMAL
74,0.86,309,NORMAL
61,0.56,311,NORMAL
37,0.75,338,WARNING
57,0.71,343,NORMAL
44,0.59,265,NORMAL
41,0.35,311,NORMAL
78,0.86,297,NORMAL
52,0.63,285,NORMAL
40,0.99,289,NORMAL
44,0.72,350,NORMAL
37,0.95,253,NORMAL
78,1.17,270,NORMAL
84,0.77,302,NORMAL
60,1.07,287,NORMAL
70,0.7,342,NORMAL
81,0.42,309,WARNING
47,1.01,268,NORMAL
62,0.39,306,CRITICAL
79,0.53,278,NORMAL
59,0.6,292,WARNING
63,0.97,327,NORMAL
45,0.62,348,CRITICAL
53,0.58,335,NORMAL
53,1.03,276,NORMAL
37,0.64,339,NORMAL
83,0.36,280,NORMAL
59,0.52,259,NORMAL
82,0.6,316,NORMAL
80,0.28,261,WARNING
43,0.56,306,NORMAL
81,1.04,337,WARNING
70,0.26,308,NORMAL
65,1.19,301,NORMAL
39,0.55,292,NORMAL
85,0.55,272,NORMAL
46,0.73,313,NORMAL
70,0.49,262,CRITICAL
75,0.68,343,NORMAL
55,0.94,349,NORMAL
81,0.27,308,NORMAL
69,0.92,275,NORMAL
44,0.5,298,CRITICAL
64,0.77,330,NORMAL
61,1.01,293,NORMAL
69,0.84,292,NORMAL
80,0.37,280,NORMAL
43,1.1,290,NORMAL
65,0.21,288,WARNING
59,0.92,274,NORMAL
43,0.95,303,WARNING
50,0.74,348,NORMAL
69,1.11,262,NORMAL
59,0.85,318,WARNING
75,0.72,348,WARNING
66,1.14,344,NORMAL
50,0.84,288,NORMAL
79,0.83,336,NORMAL
56,0.74,260,NORMAL
48,0.85,319,NORMAL
48,0.87,317,CRITICAL
72,0.52,295,NORMAL
49,1.1,286,CRITICAL
63,0.65,284,NORMAL
57,1.17,286,NORMAL
56,0.23,333,NORMAL
58,0.52,322,NORMAL
54,0.65,270,NORMAL
40,0.28,346,NORMAL
54,0.21,315,WARNING
59,0.73,343,NORMAL
57,0.88,256,NORMAL
55,0.42,273,NORMAL
71,0.64,335,CRITICAL
81,0.7,311,NORMAL
81,0.74,251,WARNING
67,0.27,305,NORMAL
48,0.46,258,CRITICAL
59,0.98,348,NORMAL
72,0.67,297,NORMAL
48,0.34,258,NORMAL
77,0.43,330,NORMAL
44,0.26,304,NORMAL
45,0.61,294,NORMAL
52,0.24,264,CRITICAL
67,1.02,281,CRITICAL
40,1.1,308,NORMAL
54,0.26,309,CRITICAL
54,1.15,304,NORMAL
39,0.56,284,NORMAL
38,1.18,251,CRITICAL
60,0.23,312,NORMAL
55,1.18,266,NORMAL
70,0.89,296,WARNING
35,0.43,312,NORMAL
85,0.6,305,NORMAL
80,0.4,306,NORMAL
38,0.65,335,WARNING
36,0.98,267,NORMAL
35,1.17,315,NORMAL
48,0.32,326,NORMAL
39,0.44,309,NORMAL
59,0.41,252,NORMAL
54,0.35,274,NORMAL
41,0.62,261,NORMAL
59,0.46,335,NORMAL
47,0.39,292,NORMAL
61,0.22,323,WARNING
60,0.72,312,WARNING
51,1.13,272,NORMAL
67,1.1,319,WARNING
76,0.28,331,NORMAL
40,1.02,287,CRITICAL
64,1.2,343,NORMAL
70,1.11,311,NORMAL
72,0.85,326,WARNING
44,0.51,342,NORMAL
64,0.63,256,NORMAL
35,1.17,301,CRITICAL
35,0.28,293,NORMAL
39,0.28,310,NORMAL
67,0.75,288,NORMAL
55,0.57,294,NORMAL
67,0.57,346,NORMAL
81,0.24,317,NORMAL
37,0.7,255,NORMAL
80,1.17,339,NORMAL
39,0.27,316,NORMAL
81,0.31,318,CRITICAL
38,0.82,267,NORMAL
68,0.45,326,NORMAL
45,0.23,279,CRITICAL
63,0.39,250,NORMAL
76,0.84,341,NORMAL
77,0.51,252,NORMAL
70,0.83,266,NORMAL
35,0.88,308,NORMAL
51,0.33,325,NORMAL
74,0.66,296,NORMAL
79,0.52,250,NORMAL
48,0.83,333,NORMAL
84,1.05,306,NORMAL
73,0.51,255,NORMAL
65,1.04,256,NORMAL
64,1.13,317,NORMAL
71,0.83,348,CRITICAL
74,0.85,278,CRITICAL
40,1.08,273,NORMAL
53,0.63,296,NORMAL
81,0.67,281,NORMAL
72,0.51,276,WARNING
47,0.67,291,NORMAL
63,0.56,331,NORMAL
36,0.5,350,NORMAL
73,0.53,302,NORMAL
80,1.1,330,NORMAL
70,0.26,286,NORMAL
48,0.46,257,NORMAL
40,0.8,253,NORMAL
81,1.15,342,NORMAL
51,0.21,348,NORMAL
65,0.23,342,NORMAL
48,1.18,307,WARNING
79,1.07,299,NORMAL
65,0.62,294,WARNING
42,0.5,258,CRITICAL
65,1.04,305,NORMAL
75,0.79,342,WARNING
73,0.76,321,NORMAL
83,0.91,304,NORMAL
61,0.28,318,NORMAL
53,1.07,254,NORMAL
60,0.92,309,NORMAL
53,0.65,325,NORMAL
63,0.71,345,WARNING
49,0.84,296,NORMAL
46,0.3,285,NORMAL
84,0.76,314,WARNING
80,0.61,350,NORMAL
